year,meanBonus,meanHourly,medianBonus,medianHourly,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale
2022,NULL,-4.95,NULL,-10.97,-0.87,2.97,2.98,9.12,NULL,NULL,0,0
2022,8.3,7.9,10.7,4.1,3.1,3,-0.1,-1.8,4,5.7,25.8,26.9
2022,NULL,6.02,NULL,-1.37,-2.79,2.33,-35.79,-31.23,NULL,NULL,0,0.24
2022,42.19,20.75,0,17.56,-6.9,20.96,37.06,-8.89,77.78,84.26,30.86,24.37
2022,NULL,2.08,NULL,-10.14,-13.2,-9.8,5.9,-20.35,NULL,NULL,NULL,NULL
2022,NULL,3.26,NULL,3.03,0.99,2.99,2.68,0.92,NULL,NULL,NULL,NULL
2022,14.7,4.2,11.9,0.8,-7.7,-4.5,2.2,1.9,88.9,89.1,NULL,NULL
2022,-59.58,-2.89,-603.92,-4.59,0,0,0,0,52.38,64.12,4.76,5.56
2022,80.2,45.5,19.6,13.5,49.4,55.8,100,100,90.1,88,93.3,92.3
2022,NULL,14.36,NULL,28.43,-93.72,-78.22,-16.22,-30.72,NULL,NULL,7,7
2022,44,50,39,24,-5,-14,-4,0,77,63,61,51
2022,28.4,15.6,22.6,19.6,NULL,NULL,NULL,NULL,72.8,73.1,91.8,93.5
2022,81,61,73,24,35,41,-5,0,91,90,6,7
2022,87,37,42,26,NULL,NULL,-5,-72,90,86,4,14
2022,NULL,16.99,NULL,24.14,16.89,4.34,14.03,9.39,NULL,NULL,0,0
2022,NULL,-2.19,NULL,-4.83,-1.65,0.23,6.24,-3.48,NULL,NULL,NULL,NULL
2022,65.81,22.96,42.49,5.01,11,-3.1,NULL,NULL,75,77,17.49,15.8
2022,NULL,4.11,NULL,-0.67,-12.43,-4.46,-24.69,-4.66,NULL,NULL,NULL,NULL
2022,34.8,22.3,0,24.4,31.7,43.7,6.8,-25.9,89.6,94.2,100,100
2022,28,11,24,14,-7,0,8,10,98,98,80,87
2022,33.2,21.1,29.8,22.6,NULL,NULL,NULL,NULL,92.2,96.9,84.7,92.9
2022,46.7,16.3,30.1,14.8,NULL,NULL,NULL,NULL,19.98,80.02,0,0
2022,NULL,25.17,NULL,0.49,16.98,-22.52,NULL,NULL,NULL,NULL,0.48,3.82
2022,30.9,11.42,0,3.14,0.61,3.3,11.56,3,96,92,76,72
2022,43.3,15.7,22.1,15,NULL,NULL,7.1,14.4,96.8,96.7,100,100
2022,9.8,0.2,9.9,6.2,NULL,NULL,NULL,NULL,82.7,78.4,85.3,86.9
2022,23.1,3.9,-17.3,1.7,0.2,1.8,NULL,NULL,2.8,3.7,0.9,1.2
2022,NULL,1.12,NULL,-8.5,-8.37,-10.97,12.07,8.23,NULL,NULL,NULL,NULL
2022,9.34,9.8,-0.24,13.05,8.06,-4.71,11.57,25.68,95.11,96.18,100,100
2022,10.4,2.8,2,0.6,NULL,NULL,NULL,NULL,NULL,NULL,88,88
2022,NULL,8.1,NULL,6,9.3,10,5.1,14.4,NULL,NULL,NULL,NULL
2022,48.9,8.4,0,1.3,2,1.9,0,0,41.7,48.7,0,0
2022,-13.5,-11.9,-15.4,-18.5,-51.3,-12.4,-0.8,-6.7,85,90,8,7
2022,44.6,11.6,24.1,8.9,5.1,8.2,-2.8,2,85.2,86.4,1.1,2.4
2022,33,-6,24.2,-0.3,1.6,0,1.5,0.1,11.9,10.6,3.6,1.8
2022,72.95,-15.6,60.02,-15.56,-5.88,-3.4,NULL,NULL,4,2,1,2
2022,14.5,26.1,14.4,37.4,37.4,48,26.1,51.9,1.03,0.93,NULL,NULL
